Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
21.34	-16.524	
21.36	-16.992	
21.38	-17.388	
21.4	-17.676	
21.42	-17.892	
21.44	-17.964	
21.46	-18	
21.48	-17.928	
21.5	-17.748	
21.52	-17.496	
21.54	-17.172	
21.56	-16.74	
21.58	-16.236	
21.6	-15.732	
21.62	-15.048	
21.64	-14.328	
21.66	-13.536	
21.68	-12.708	
21.7	-11.808	
21.72	-10.8	
21.74	-9.792	
21.76	-8.712	
21.78	-7.596	
21.8	-6.408	
21.82	-5.184	
21.84	-3.996	
21.86	-2.736	
21.88	-1.44	
21.9	-0.036	
21.92	1.188	
21.94	2.556	
21.96	3.924	
21.98	5.22	
22	6.624	
22.02	7.956	
22.04	9.216	
22.06	10.44	
22.08	11.7	
22.1	12.924	
22.12	14.04	
22.14	15.192	
22.16	16.236	
22.18	17.28	
22.2	18.288	
22.22	19.152	
22.24	20.052	
22.26	20.808	
22.28	21.528	
22.3	22.176	
22.32	22.788	
22.34	23.292	
22.36	23.724	
22.38	24.084	
22.4	24.336	
22.42	24.516	
22.44	24.624	
22.46	24.66	
22.48	24.624	
22.5	24.48	
22.52	24.264	
22.54	23.976	
22.56	23.616	
22.58	23.184	
22.6	22.716	
22.62	22.14	
22.64	21.492	
22.66	20.772	
22.68	20.016	
22.7	19.116	
22.72	18.252	
22.74	17.316	
22.76	16.272	
22.78	15.228	
22.8	14.112	
22.82	12.924	
22.84	11.736	
22.86	10.548	
22.88	9.252	
22.9	7.92	
22.92	6.588	
22.94	5.292	
22.96	3.924	
22.98	2.556	
23	1.26	
23.02	-0.108	
23.04	-1.476	
23.06	-2.772	
23.08	-4.104	
23.1	-5.436	
23.12	-6.588	
23.14	-7.74	
23.16	-8.928	
23.18	-10.008	
23.2	-11.052	
23.22	-12.024	
23.24	-13.032	
23.26	-13.86	
23.28	-14.652	
23.3	-15.372	
23.32	-16.02	
23.34	-16.56	
23.36	-17.028	
23.38	-17.388	
23.4	-17.676	
23.42	-17.892	
23.44	-18	
23.46	-18	
23.48	-17.928	
23.5	-17.748	
23.52	-17.496	
23.54	-17.172	
23.56	-16.776	
23.58	-16.236	
23.6	-15.696	
23.62	-15.048	
23.64	-14.328	
23.66	-13.536	
23.68	-12.672	
23.7	-11.772	
23.72	-10.764	
23.74	-9.756	
23.76	-8.64	
23.78	-7.56	
23.8	-6.444	
23.82	-5.148	
23.84	-3.96	
23.86	-2.664	
23.88	-1.368	
23.9	-0.036	
23.92	1.26	
23.94	2.592	
23.96	3.924	
23.98	5.256	
24	6.624	
24.02	7.956	
24.04	9.216	
24.06	10.476	
24.08	11.736	
24.1	12.924	
24.12	14.148	
24.14	15.192	
24.16	16.308	
24.18	17.316	
24.2	18.288	
24.22	19.224	
24.24	20.052	
24.26	20.88	
24.28	21.564	
24.3	22.212	
24.32	22.788	
24.34	23.292	
24.36	23.724	
24.38	24.084	
24.4	24.336	
24.42	24.552	
24.44	24.66	
24.46	24.66	
24.48	24.624	
24.5	24.48	
24.52	24.264	
24.54	23.976	
24.56	23.616	
24.58	23.148	
24.6	22.68	
24.62	22.104	
24.64	21.456	
24.66	20.736	
24.68	19.98	
24.7	19.116	
24.72	18.252	
24.74	17.28	
24.76	16.272	
24.78	15.192	
24.8	14.112	
24.82	12.924	
24.84	11.7	
24.86	10.476	
